ชื่อเครื่องมือ,Serial No.,"
Old_Code
",User,Project/Location,Status,วันที่เครื่องมือถูกเบิก,วันครบกำหนดส่งคืน,จำนวนวันที่เบิกไปแล้ว,สถานะการใช้งาน,สถานะการตรวจสอบ/ซ่อม,สถานะ (พร้อมใช้งาน ≥30 วัน)
เครื่องตัดเหล็กข้ออ้อยแบบมือถือ,E.MJ.CON.010.060.009.0001,TTS2100030026,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องตัดเหล็กข้ออ้อยแบบมือถือ,E.MJ.CON.010.060.009.0002,S/N 6286,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องตัดเหล็กข้ออ้อยแบบมือถือ,E.MJ.CON.010.060.009.0003,S/N 6285,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องตัดเหล็กข้ออ้อยแบบมือถือ,E.MJ.CON.010.060.009.0004,S/N6323,,ESCENT NAKHON SI,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องตัดเหล็กไร้สาย ขนาด 25 mm.,E.MJ.CON.010.060.010.0001,S/N 1221,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องตัดเหล็กไร้สาย ขนาด 25 mm.,E.MJ.CON.010.060.010.0002,S/N 0012753Y,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดัดเหล็กมือถือ ขนาด 32 mm.,E.MJ.CON.010.060.011.0001,S/N 0001,,Live Ramintra KM.8,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดัดเหล็กวงกลม ขนาด 25 mm.,E.MJ.CON.010.060.012.0001,S/N 6502047-1,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดัดเหล็กวงกลม ขนาด 25 mm.,E.MJ.CON.010.060.012.0002,S/N 6502047-2,,ผู้บริหาร,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดัดเหล็กวงกลม ขนาด 25 mm.,E.MJ.CON.010.060.012.0003,S/N 6502047-3,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องล้างล้ออัตโนมัติ ขนาด 20 KW,E.MJ.CON.010.070.001.0001,TTS213050001,,คลังสินค้าบางบ่อ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องล้างล้ออัตโนมัติ ขนาด 20 KW,E.MJ.CON.010.070.001.0002,TTS213050002,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องล้างล้ออัตโนมัติ ขนาด 15.5 KW,E.MJ.CON.010.070.002.0001,A.06.002.0002,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
รถกวาดพื้นพร้อมดูดฝุ่น KM 100,E.MJ.CON.010.070.003.0001,TTS211011001,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
รถกวาดพื้นพร้อมดูดฝุ่น KM 120,E.MJ.CON.010.070.004.0001,TTS211011002,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
รถกวาดพื้นพร้อมดูดฝุ่น KM 120,E.MJ.CON.010.070.004.0002,TTS211011003,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
รถกวาดพื้นพร้อมดูดฝุ่น KM 120,E.MJ.CON.010.070.004.0003,TTS211011004,,Sukhumvit 29 Hotel (HT-SKV29),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0001,TTS415330117,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0002,TTS415330118,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0003,TTS415330120,,คลังสินค้าและบริการ,เสียหาย,,,,,,
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0004,TTS415330121,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0005,TTS415330122,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0006,TTS415330123,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0007,TTS415330124,,Na Reva Charoennakhon,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0008,TTS415330125,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0009,TTS415330126,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0010,TTS415330127,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0011,TTS415330128,,คลังสินค้าและบริการ,เสียหาย,,,,,,
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0012,TTS415330129,,Image 49,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0014,TTS415330131,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0016,TTS415330133,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0017,TTS415330134,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0018,TTS415330119,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0019,S/N 102736,,Sukhumvit 29 Hotel (HT-SKV29),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0020,S/N 102714,,Sukhumvit 29 Hotel (HT-SKV29),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0021,S/N 102742,,Sukhumvit 29 Hotel (HT-SKV29),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0022,S/N 102746,,Sukhumvit 29 Hotel (HT-SKV29),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0023,S/N 102808,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0024,S/N 102809,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0025,S/N 102814,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0026,S/N 102815,,Rich Point @BTS Wutthakat,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1380 วัตต์,E.MJ.CON.010.070.007.0027,S/N 102817,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2160 วัตต์,E.MJ.CON.010.070.008.0001,TTS415330001,,คลังสินค้าและบริการ,เสียหาย,,,,,,
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0005,TTS415330020,,Image 49,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0007,TTS415330036,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0008,TTS415330037,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0009,TTS415330039,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0011,TTS415330043,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0014,TTS415330048,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0016,TTS415330052,,คลังสินค้าและบริการ,เสียหาย,,,,,,
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0020,TTS415330057,,คลังสินค้าและบริการ,เสียหาย,,,,,,
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0021,TTS415330058,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0026,TTS415330063,,Canopy by Hilton ฺBangkok Sukhumvit (CBH SKV12),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0029,TTS415330066,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0031,TTS415330101,,Sukhumvit 29 Hotel (HT-SKV29),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0032,TTS415330102,,Image 49,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0033,TTS415330103,,Image 49,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0035,TTS415330105,,Prannok-Tadmai (DH2),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0036,TTS415330106,,Sukhumvit 29 Hotel (HT-SKV29),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0038,TTS415330135,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0039,TTS415330136,,Prannok-Tadmai (DH2),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0041,TTS415330138,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0042,TTS415330139,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0043,TTS415330140,,Canopy by Hilton ฺBangkok Sukhumvit (CBH SKV12),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0044,TTS415330141,,สริน ราชพฤกษ์ สาย1,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0046,TTS415330143,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0047,TTS415330144,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0049,TTS415330146,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0050,TTS415330147,,Image 49,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0051,TTS415330148,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0052,TTS415330149,,Canopy by Hilton ฺBangkok Sukhumvit (CBH SKV12),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0053,TTS415330150,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0054,TTS415330151,,The Parkland Phetkasem56,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0055,TTS415330152,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0056,TTS415330153,,The Base เพชรบุรี - ทองหล่อ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0057,TTS415330154,,Sukhumvit 29 Hotel (HT-SKV29),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0059,S/N 215227,,Sukhumvit 29 Hotel (HT-SKV29),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0060,S/N 215228,,Canopy by Hilton ฺBangkok Sukhumvit (CBH SKV12),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0061,S/N 215231,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0062,S/N 215232,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 2750 วัตต์,E.MJ.CON.010.070.009.0063,S/N 215233,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 3000 วัตต์,E.MJ.CON.010.070.010.0001,TTS415580001,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 3000 วัตต์,E.MJ.CON.010.070.010.0002,TTS415580002,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 3000 วัตต์,E.MJ.CON.010.070.010.0003,TTS415580003,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 3000 วัตต์,E.MJ.CON.010.070.010.0004,TTS415580004,,Baan Sansiri Bangna,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 3240 วัตต์,E.MJ.CON.010.070.011.0002,TTS415330012,,Baan Sansiri Bangna,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 3600 วัตต์,E.MJ.CON.010.070.012.0006,TTS415330031,,Baan Sansiri Bangna,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดฝุ่นไร้สาย ขนาด 18 โวล์,E.MJ.CON.010.070.013.0001,S/N 911002428,,Sukhumvit 29 Hotel (HT-SKV29),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดฝุ่นไร้สาย ขนาด 18 โวล์,E.MJ.CON.010.070.013.0002,S/N 021008002,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดฝุ่นไร้สาย ขนาด 18 โวล์,E.MJ.CON.010.070.013.0003,S/N 021008003,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องดูดฝุ่นไร้สาย ขนาด 18 โวล์,E.MJ.CON.010.070.013.0005,S/N 021008008,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องดูดฝุ่นไร้สาย ขนาด 18 โวล์,E.MJ.CON.010.070.013.0006,S/N 021008010,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดฝุ่นไร้สาย ขนาด 18 โวล์,E.MJ.CON.010.070.013.0007,S/N 021008013,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดฝุ่นแบบสะพายหลัง,E.MJ.CON.010.070.014.0013,TTS415350045,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดฝุ่นแบบสะพายหลัง,E.MJ.CON.010.070.014.0016,S/N 18346,,คลังสินค้าและบริการ,เสียหาย,,,,,,
เครื่องดูดฝุ่นแบบสะพายหลัง,E.MJ.CON.010.070.014.0018,S/N 19122,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดฝุ่นแบบสะพายหลัง,E.MJ.CON.010.070.014.0019,S/N 19123,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดฝุ่นแบบสะพายหลัง,E.MJ.CON.010.070.014.0020,S/N 18340,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องล้างท่อระบบมอเตอร์ไฟฟ้า,E.MJ.CON.010.070.015.0001,TTS415400001,,บ้านพักคนงาน ศรีนครินทร์,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องล้างท่อระบบมอเตอร์ไฟฟ้า,E.MJ.CON.010.070.015.0002,TTS415400002,,Image 49,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องล้างท่อระบบมอเตอร์ไฟฟ้า,E.MJ.CON.010.070.015.0003,S/N 0003,,Sukhumvit 29 Hotel (HT-SKV29),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องล้างท่อแบบมือหมุน,E.MJ.CON.010.070.016.0001,TTS415400003,,ELIO DEL MOSS,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0001,TTS415220017,,Baan Sansiri Bangna,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0002,TTS415220018,,Thyme Bangna,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0003,TTS415220019,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0004,TTS415220020,,Canopy by Hilton ฺBangkok Sukhumvit (CBH SKV12),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0010,TTS415220026,,Artale Asoke Rama9,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0011,TTS415220027,,Prannok-Tadmai (DH2),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0012,TTS415220028,,Bloom Mental Wellness Hospital (BMWH),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0014,TTS415220030,,Sukhumvit 29 Hotel (HT-SKV29),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0016,TTS415220036,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0017,TTS415220037,,Bloom Mental Wellness Hospital (BMWH),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0019,TTS415220039,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0020,TTS415220040,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0025,TTS415220004,,Prannok-Tadmai (DH2),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0030,TTS415220032,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0034,S/N 8047,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0036,S/N 8072,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0037,S/N 8053,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0039,S/N 225000010,,Image 49,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0040,S/N 227000014,,Bloom Mental Wellness Hospital (BMWH),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0041,S/N 001670,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0042,S/N 001663,,บ้านพักคนงาน ศรีนครินทร์,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องฉีดน้ำแรงดันสูง ขนาด 20-150 บาร์,E.MJ.CON.010.070.017.0043,S/N 00059190705666,100274 แสงสุรีย์ ปัดถามัย,คลังสินค้าและบริการ,ใช้งานอยู่,,28/8/2025,45940,เกินกำหนด 43 วัน,,
เครื่องฉีดน้ำแรงดันสูง ขนาด 150-500 บาร์,E.MJ.CON.010.070.018.0001,TTS415220033,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่อง Steel Shot Blast,E.MJ.CON.010.070.019.0001,E.MJ.CON.010.070.019.0001,101762 วริศรา อินง้อง,คลังสินค้าและบริการ,ใช้งานอยู่,,28/8/2025,45940,เกินกำหนด 43 วัน,,
เครื่องดัดคลาย Strain แบบหล่อ,E.MJ.CON.010.070.020.0001,E.MJ.CON.010.070.020.0001,101762 วริศรา อินง้อง,คลังสินค้าและบริการ,ใช้งานอยู่,,28/8/2025,45940,เกินกำหนด 43 วัน,,
เครื่องดูดฝุ่น ขนาด 3800 วัตต์,E.MJ.CON.010.070.021.0001,S/N 91862,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
เครื่องดูดฝุ่น ขนาด 3800 วัตต์,E.MJ.CON.010.070.021.0002,S/N 91865,,Bloom Mental Wellness Hospital (BMWH),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
เครื่องดูดน้ำ-ดูดฝุ่น ขนาด 1050 วัตต์,E.MJ.CON.010.070.022.0001,S/N 1249,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
